Conversion Certificate,Deed from Previous Owner,Electricity Connection,Electricity Connection_detail,Encumberence Certificate,Is the plot free of any legal issues?,Revenue Document,Road Available,Road Available_detail,Sewage Connection,Sewage Connection_detail,Title Deed,Title Deed_detail,Water Connection,Water Connection_detail,amenities,boundary,construction,dimensions,fig_count,floor,location,open-sides,overlooking,ownership,plot-area,price,price_available,price_per_sqft,transaction,type,width-road-facing
,,,,,,,,,,,,,,,,Yes,Yes,60 X 30,0,5,"Action Area 3, Kolkata",2.00,Main Road,Freehold,1800 sqft,22.5 Lac,1,1250.00,New Property,Residential Land / Plot,10 m
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,70 X 30.86,24,7,"Action Area 3, Kolkata",2.00,Main Road,Freehold,2160 sqft,26.5 Lac,1,1225.00,New Property,Residential Land / Plot,10 m
,,,,,,,,,,,,,,,,Yes,Yes,,1,,"Rajpur Sonarpur, Kolkata",,,,14400 sqft,2 Cr,1,1389.00,Resale,Residential Land / Plot,10 m
Yes,No,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,No,No,,0,,"Deshbandhu Road, Kolkata",2.00,,,2160 sqft,43 Lac,1,1991.00,Resale,Residential Land / Plot,3 m
,,,,,,,,,,,,,,,,No,Yes,24 X 30,15,,"Diamond Park, Joka, Kolkata",1.00,"Garden/Park, Main Road",Freehold,720 sqft,2 Lac,1,278.00,New Property,Residential Land / Plot,25 m
No,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Borewell,,No,No,,2,3,"Joka, Kolkata",3.00,,Freehold,1440 sqft,2 Lac,1,139.00,Resale,Residential Land / Plot,25 m
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,On Highway,Yes,Open,Yes,Sale Deed,Yes,Water Board,"Club House, Swimming Pool, Gymnasium, Reserved Parking, Security, Water Storage",Yes,Yes,,11,3,"Joka, Kolkata",3.00,,,675000 sqft,,0,,Resale,Residential Land / Plot,34 m
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,35 X 41.14,24,5,"New Town, Kolkata",2.00,Main Road,Freehold,1440 sqft,16.6 Lac,1,1150.00,New Property,Residential Land / Plot,10 m
,,,,,,,,,,,,,,,,No,No,,0,,"Behala, Kolkata",2.00,,Freehold,7201 sqft,3 Cr,1,4166.00,Resale,Residential Land / Plot,16 m
,,,,,,,,,,,,,,,,Yes,No,24 X 30,8,2,"Diamond Park, Joka, Kolkata",4.00,"Garden/Park, Main Road",Freehold,720 sqft,1 Lac,1,139.00,New Property,Residential Land / Plot,20 m
,,,,,,,,,,,,,,,,Yes,No,,0,3,"Mukundapur, Kolkata",,,,1420 sqft,25 Lac,1,1761.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,,1,,"New Town, Kolkata",3.00,,Freehold,2160 sqft,95 Lac,1,4398.00,Resale,Residential Land / Plot,
Yes,Yes,Yes,,Yes,Yes,,Yes,,Yes,,Yes,Sale Deed,Yes,,,Yes,No,,0,,"Subhasgram, Kolkata",1.00,,Freehold,8641 sqft,25 Lac,1,289.00,Resale,Residential Land / Plot,30 m
,,,,,,,,,,,,,,,,No,No,,0,4,"Action Area 3, Kolkata",2.00,"Main Road, Garden/Park",Freehold,2185 sqft,,0,,Resale,Residential Land / Plot,20 m
No,Yes,No,,No,Yes,,Yes,Pucca Road,Yes,Open,Yes,Sale Deed,No,,,Yes,No,47 X 309,2,,Kolkata,2.00,,Freehold,2070 sqft,18 Lac,1,870.00,Resale,Residential Land / Plot,1 m
,,,,,,,,,,,,,,,,No,No,,0,5,"Action Area 2, Kolkata",1.00,Main Road,Freehold,3228 sqft,,0,,Resale,Residential Land / Plot,12 m
,,,,,,,,,,,,,,,,Yes,No,1637 X 1610,3,4,"Thakurpukur, Kolkata",2.00,,,3600 sqft,65 Lac,1,1805.00,Resale,Residential Land / Plot,6 m
,,,,,,,,,,,,,,,,No,No,,0,,"Action Area 2, Kolkata",1.00,,Freehold,3228 sqft,,0,,Resale,Residential Land / Plot,12 m
,,,,,,,,,,,,,,,,Yes,No,,0,4,Kolkata,,,,1710 sqft,17 Lac,1,994.00,Resale,Residential Land / Plot,
No,Yes,Yes,Electricity Board,Yes,No,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Borewell,,No,No,,0,,"Joka, Kolkata",1.00,,Freehold,1800 sqft,12 Lac,1,667.00,Resale,Residential Land / Plot,30 m
Yes,Yes,No,,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Borewell,,Yes,No,,1,3,"Sonarpur, Kolkata",1.00,,Freehold,1480 sqft,21 Lac,1,1419.00,Resale,Residential Land / Plot,6 m
,,,,,,,,,,,,,,,,No,No,,0,,"Joka, Kolkata",2.00,Garden/Park,Freehold,2160 sqft,21 Lac,1,972.00,Resale,Residential Land / Plot,7 m
No,No,No,,Yes,Yes,Yes,Yes,Pucca Road,No,,Yes,Sale Deed,No,,,Yes,No,69 X 40.6,0,,"Fartabad, Garia, Kolkata",3.00,Main Road,Freehold,2799 sqft,1.12 Cr,1,4019.00,Resale,Residential Land / Plot,8 m
Yes,Yes,Yes,Electricity Board,Yes,Yes,Yes,Yes,Pucca Road,Yes,Open,Yes,Sale Deed,No,,,Yes,No,465 X 376,2,4,"Panchasayar, Garia, Kolkata",4.00,,,2160 sqft,40 Lac,1,1852.00,Resale,Residential Land / Plot,4 m
,,,,,,,,,,,,,,,,Yes,Yes,104 X 50,3,1,"Nayabad, Kolkata",3.00,,,5200 sqft,1.05 Cr,1,2019.00,Resale,Residential Land / Plot,12 m
,,,,,,,,,,,,,,,,No,No,30 X 48,3,3,"Sonarpur, Kolkata",1.00,Main Road,Freehold,1440 sqft,6 Lac,1,417.00,New Property,Residential Land / Plot,20 m
,,,,,,,,,,,,,,,,No,No,,0,1,"Rajpur, Kolkata",,,,,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,,0,5,"Rajarhat, Kolkata",,,,8000 sqft,1.80 Cr,1,2250.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,,0,3,"Kasba, Kolkata",,,,1000 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,,0,,"Ranaghat, Kolkata",4.00,,Freehold,100800 sqft,,0,,Resale,Residential Land / Plot,
No,Yes,No,,No,Yes,,Yes,Pucca Road,Yes,,Yes,Sale Deed,Yes,Water Board,,Yes,No,,1,4,"Harinavi, Kolkata",3.00,,Freehold,1980 sqft,40 Lac,1,2020.00,Resale,Residential Land / Plot,4 m
,,,,,,,,,,,,,,,,Yes,No,,0,3,Kolkata,2.00,Main Road,Freehold,1810 sqft,,0,,New Property,Residential Land / Plot,
Yes,Yes,Yes,Electricity Board,Yes,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,Yes,Yes,,6,,"Nabadwip, Kolkata",4.00,Garden/Park,Freehold,8640 sqft,1.20 Cr,1,1389.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,Yes,24 X 30,13,Congo,"Joka, Kolkata",2.00,"Garden/Park, Main Road",Freehold,1100 sqft,3.5 Lac,1,318.00,New Property,Residential Land / Plot,20 m
,,,,,,,,,,,,,,,,No,No,,0,3,"Nabadwip, Kolkata",,,,2200 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,0,,0,,"Action Area 2, Kolkata",1.00,,Freehold,3228 sqft,,0,,Resale,Residential Land / Plot,12 m
,,,,,,,,,,,,,,,,No,No,,0,,"Belur, Kolkata",1.00,,,1200 sqft,8 Lac,1,667.00,Resale,Residential Land / Plot,12 m
,,,,,,,,,,,,,,,,Yes,Yes,,0,,"Ganguly Bagan, Beliaghata, Kolkata",1.00,,,3600 sqft,,0,,Resale,Residential Land / Plot,4 m
,,,,,,,,,,,,,,,,No,No,,2,,"Action Area 3, Kolkata",2.00,Garden/Park,Freehold,1260 sqft,22.5 Lac,1,1786.00,Resale,Residential Land / Plot,7 m
,,,,,,,,,,,,,,,,Yes,Yes,,0,3,"Garia, Kolkata",3.00,,Freehold,3600 sqft,25 Lac,1,694.00,Resale,Residential Land / Plot,42 m
,,,,,,,,,,,,,,,,No,No,,0,,"New Town, Kolkata",2.00,Garden/Park,Freehold,2160 sqft,45 Lac,1,2083.00,Resale,Residential Land / Plot,8 m
,,,,,,,,,,,,,,,,No,No,,1,Congo,"Rajarhat, Kolkata",2.00,Garden/Park,Freehold,1440 sqft,28 Lac,1,1944.00,Resale,Residential Land / Plot,8 m
,,,,,,,,,,,,,,,,No,No,,0,,"Pailan, Kolkata",2.00,Garden/Park,Freehold,3600 sqft,35 Lac,1,972.00,Resale,Residential Land / Plot,7 m
,,,,,,,,,,,,,,,,Yes,No,,0,3,"Khardaha, Kolkata",,,,12250 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,,0,Congo,"Kanchrapara, Kolkata",1.00,,,7500 sqft,40 Lac,1,533.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,24 X 30,12,,"Joka, Kolkata",1.00,"Garden/Park, Main Road",Freehold,720 sqft,3.5 Lac,1,486.00,New Property,Residential Land / Plot,20 m
No,Yes,No,,No,Yes,,Yes,Mud Road,No,,No,,No,,,No,No,,0,2,Kolkata,3.00,,Freehold,1440 sqft,9 Lac,1,625.00,Resale,Residential Land / Plot,2 m
,,,,,,,,,,,,,,,,No,No,,0,,"Hridaypur, Kolkata",2.00,,Freehold,1100 sqft,20 Lac,1,1818.00,Resale,Residential Land / Plot,5 m
,,,,,,,,,,,,,,,,Yes,No,,0,5,"New Town, Kolkata",3.00,,Freehold,2880 sqft,2.30 Cr,1,7987.00,Resale,Residential Land / Plot,25 m
,,,,,,,,,,,,,,,,No,,,0,10,"Durgapur Dhapa, Kolkata",,,,4320 sqft,90 Lac,1,2083.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,,0,,"Purbalok, Mukundapur, Kolkata",1.00,Main Road,Freehold,2250 sqft,,0,,Resale,Residential Land / Plot,6 m
,,,,,,,,,,,,,,,,Yes,No,,0,2,"Purba Putiary, Kolkata",1.00,,,1440 sqft,18 Lac,1,1250.00,Resale,Residential Land / Plot,2 m
,,,,,,,,,,,,,,,,Yes,No,,0,3,"Madhyamgram, Kolkata",,,,1080 sqft,8.5 Lac,1,787.00,Resale,Residential Land / Plot,
No,No,No,Electricity Board,No,Yes,,Yes,Pucca Road,Yes,Open,Yes,Conveyance Deed,No,Water Board,,No,No,,0,,"Vip Road, Kolkata",3.00,Garden/Park,Freehold,2160 sqft,,0,,Resale,Residential Land / Plot,3 m
,,,,,,,,,,,,,,,,No,No,66 X 48.79,7,5,"Action Area 2B, Kolkata",2.00,"Garden/Park, Main Road",Freehold,3220 sqft,,0,,Resale,Residential Land / Plot,13 m
,,,,,,,,,,,,,,,,Yes,No,,0,1,"Sonarpur Station Road, Kolkata",,,,12000 sqft,1.44 Cr,1,1200.00,Resale,Residential Land / Plot,
No,Yes,Yes,Electricity Board,Yes,No,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Borewell,"Power Back Up, Club House, Swimming Pool, Gymnasium, Security, Visitor Parking",Yes,Yes,,5,,"Joka, Kolkata",2.00,,Freehold,1440 sqft,3.2 Lac,1,222.00,Resale,Residential Land / Plot,20 m
,,,,,,,,,,,,,,,,No,0,,0,,"Kandarpopur Town, Kolkata",1.00,,Freehold,6100 sqft,1.30 Cr,1,2131.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,,,,0,,Kolkata,,,,5600 sqft,45 Lac,1,804.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,,2,2,"Garia Station Road, Kolkata",,,,1800 sqft,17 Lac,1,944.00,Resale,Residential Land / Plot,
Yes,Yes,Yes,Electricity Board,Yes,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,Yes,Yes,,0,6,"Mandeville Gardens, Ballygunge, Kolkata",2.00,Main Road,Freehold,5040 sqft,,0,,Resale,Residential Land / Plot,8 m
,,,,,,,,,,,,,,,,Yes,Yes,,0,,Kolkata,,,,12960 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,66 X 48.79,7,1,"Action Area 1, Kolkata",2.00,"Garden/Park, Main Road",Freehold,3220 sqft,2.80 Cr,1,8696.00,Resale,Residential Land / Plot,13 m
Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Pucca Road,Yes,,Yes,Sale Deed,Yes,,,No,No,45 X 32,0,2,"Bibirhat, Kolkata",2.00,,Freehold,1440 sqft,30 Lac,1,2083.00,Resale,Residential Land / Plot,2 m
Yes,Yes,No,,No,Yes,Yes,Yes,Pucca Road,No,,Yes,Sale Deed,No,,,No,No,44 X 30.68,4,3,"Joth Shibrampur, Kolkata",2.00,,Freehold,1350 sqft,26.3 Lac,1,1944.00,Resale,Residential Land / Plot,3 m
,,,,,,,,,,,,,,,,Yes,No,,0,3,"Dankuni, Kolkata",,,,1440 sqft,22 Lac,1,1528.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,Yes,,4,6,"Alipore, Kolkata",2.00,,Freehold,10800 sqft,,0,,Resale,Residential Land / Plot,15 m
,,,,,,,,,,,,,,,,Yes,No,30 X 24,7,3,"Joka, Kolkata",4.00,"Garden/Park, Main Road",Freehold,720 sqft,1 Lac,1,139.00,New Property,Residential Land / Plot,8 m
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Open,Yes,Sale Deed,Yes,Water Board,,Yes,Yes,,2,3,"Action Area 3, Kolkata",,,Freehold,217800 sqft,,0,,Resale,Residential Land / Plot,14 m
,,,,,,,,,,,,,,,,Yes,Yes,36 X 40,2,3,"Amtala, Diamond Harbour Road, Kolkata",1.00,Main Road,Freehold,1440 sqft,10 Lac,1,694.00,New Property,Residential Land / Plot,6 m
,,,,,,,,,,,,,,,,Yes,Yes,18 X 40,2,3,"Amtala, Diamond Harbour Road, Kolkata",1.00,Main Road,Freehold,720 sqft,5.1 Lac,1,708.00,New Property,Residential Land / Plot,6 m
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,On Highway,Yes,Open,Yes,Sale Deed,Yes,Water Board,,No,No,,0,3,"Kheyadah, Kolkata",3.00,,Power Of Attorney,3484 sqft,14 Lac,1,402.00,Resale,Residential Land / Plot,18 m
,,,,,,,,,,,,,,,,No,No,,0,3,"Subhasgram, Kolkata",3.00,,,1800 sqft,,0,,Resale,Residential Land / Plot,6 m
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,On Highway,Yes,Underground,Yes,Sale Deed,Yes,Borewell,,Yes,Yes,,2,3,"Naktala, Garia, Kolkata",,,,38350 sqft,1.35 Cr,1,352.00,Resale,Residential Land / Plot,6 m
,,,,,,,,,,,,,,,,Yes,Yes,,4,3,"Madurdaha, Hussainpur, Kolkata",2.00,,,2880 sqft,,0,,Resale,Residential Land / Plot,7 m
,,,,,,,,,,,,,,,,No,No,,0,,"Action Area 2, Kolkata",2.00,,Freehold,1652 sqft,,0,,Resale,Residential Land / Plot,12 m
,,,,,,,,,,,,,,,,Yes,No,,0,5,"New Alipore, Kolkata",,,,2100 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,,2,4,"New Town Road, Kolkata",1.00,Main Road,Freehold,3229 sqft,,0,,Resale,Residential Land / Plot,13 m
,,,,,,,,,,,,,,,,No,No,30 X 48,1,3,"Diamond Harbour Road, Kolkata",2.00,,Freehold,1440 sqft,14 Lac,1,972.00,New Property,Residential Land / Plot,7 m
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,,Yes,Sale Deed,Yes,,,No,No,,0,,"Birlapur, Kolkata",3.00,,Freehold,4320 sqft,13 Lac,1,301.00,Resale,Residential Land / Plot,6 m
,,,,,,,,,,,,,,,"Power Back Up, Lift, Security, Vaastu Compliant, Visitor Parking, Indoor Games Room",No,No,960 X 960,10,,"Ghola, Sodepur, Kolkata",1.00,Main Road,Freehold,2880 sqft,19 Lac,1,660.00,New Property,Residential Land / Plot,13 m
,,,,,,,,,,,,,,,,No,0,66 X 48.91,7,5,"Action Area 3, Kolkata",1.00,Main Road,Freehold,3228 sqft,2.20 Cr,1,6815.00,Resale,Residential Land / Plot,13 m
No,Yes,Yes,Electricity Board,No,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,No,No,43.75 X 24,1,3,"Adarsha Pally Belghoria, Kolkata",3.00,Main Road,Freehold,1050 sqft,35 Lac,1,3333.00,Resale,Residential Land / Plot,
No,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Open,Yes,Sale Deed,Yes,Borewell,,No,No,,1,,"Action Area 3, Kolkata",1.00,,Freehold,2880 sqft,20 Lac,1,694.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,Yes,18 X 40,0,3,"Amtala, Diamond Harbour Road, Kolkata",1.00,,,720 sqft,5 Lac,1,694.00,New Property,Residential Land / Plot,6 m
,,,,,,,,,,,,,,,"Club House, Swimming Pool, Gymnasium, Reserved Parking, Security, Water Storage",Yes,Yes,50 X 43.2,8,4,"Joka, Kolkata",2.00,"Garden/Park, Main Road",Freehold,2160 sqft,6 Lac,1,278.00,New Property,Residential Land / Plot,7 m
,,,,,,,,,,,,,,,,No,Yes,,10,4,"Action Area 3, Kolkata",4.00,Main Road,Freehold,6480 sqft,10 Lac,1,154.00,New Property,Residential Land / Plot,7 m
Yes,Yes,No,,Yes,Yes,Yes,Yes,Pucca Road,Yes,Open,Yes,Sale Deed,No,,,Yes,0,42 X 34.3,4,2,"Madhyamgram, Kolkata",2.00,Main Road,Freehold,1440 sqft,50 Lac,1,3472.00,Resale,Residential Land / Plot,4 m
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,On Highway,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,Yes,No,,2,,Kolkata,2.00,,Co-operative Society,2 sqft,,0,,Resale,Residential Land / Plot,30 m
Yes,Yes,Yes,Electricity Board,No,Yes,,Yes,Pucca Road,Yes,Open,Yes,Sale Deed,Yes,Borewell,,Yes,Yes,,2,5,"Subhasgram, Kolkata",2.00,,Freehold,37440 sqft,1.50 Cr,1,401.00,Resale,Residential Land / Plot,
Yes,Yes,Yes,Electricity Board,Yes,No,,Yes,Pucca Road,Yes,Open,Yes,Sale Deed,Yes,Borewell,,Yes,Yes,,1,5,"Uchhepota, Kolkata",2.00,,Power Of Attorney,2100 sqft,19 Lac,1,905.00,Resale,Residential Land / Plot,20 m
,,,,,,,,,,,,,,,,No,No,,6,,"Joka, Kolkata",2.00,,Freehold,2160 sqft,12 Lac,1,556.00,Resale,Residential Land / Plot,15 m
,,,,,,,,,,,,,,,,Yes,No,0.81 X 8050,11,1,"Southern Avenue, Kolkata",2.00,"Garden/Park, Main Road",Freehold,7201 sqft,,0,,Resale,Residential Land / Plot,10 m
,,,,,,,,,,,,,,,,Yes,No,,0,2,"Sonarpur, Kolkata",1.00,,,18720 sqft,,0,,Resale,Residential Land / Plot,6 m
,,,,,,,,,,,,,,,,No,No,,8,,"Joka, Kolkata",1.00,,Freehold,1800 sqft,7 Lac,1,389.00,Resale,Residential Land / Plot,20 m
,,,,,,,,,,,,,,,,Yes,No,,4,,"Panihati, Kolkata",,,,3780 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,,0,2,"Thakurpukur, Kolkata",,,,21780 sqft,3 Cr,1,1377.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,,0,3,"Chakdaha, Kolkata",,,,2160 sqft,28 Lac,1,1296.00,Resale,Residential Land / Plot,
Yes,No,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,Yes,Yes,,1,2,"Joka, Kolkata",,,Freehold,1440 sqft,4 Lac,1,278.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,,,,0,,"Hazra, Kalighat, Kolkata",,Main Road,Freehold,830 sqft,,0,,New Property,Residential Land / Plot,
Yes,Yes,Yes,Electricity Board,Yes,Yes,,No,,No,,Yes,Will Deed,No,,,No,No,,1,,"Maheshtala, Kolkata",1.00,,Freehold,288000 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,"Power Back Up, Club House, Swimming Pool, Gymnasium, Security, Visitor Parking",No,No,24 X 30,3,,"Joka, Kolkata",1.00,"Garden/Park, Main Road",Freehold,720 sqft,3.3 Lac,1,451.00,New Property,Residential Land / Plot,20 m
,,,,,,,,,,,,,,,,,,,0,,"Baruipur, Kolkata",,,,25920 sqft,4 Cr,1,1543.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,"Power Back Up, Club House, Swimming Pool, Gymnasium, Security, Visitor Parking",No,Yes,45 X 32,14,,"Joka, Kolkata",2.00,"Garden/Park, Main Road",Freehold,1440 sqft,2.8 Lac,1,194.00,New Property,Residential Land / Plot,25 m
Yes,Yes,Yes,Electricity Board,Yes,Yes,Yes,Yes,On Highway,Yes,Underground,Yes,Will Deed,Yes,Borewell,,No,No,600 X 480,0,1,"Basirhat, Kolkata",4.00,,Freehold,288000 sqft,,0,,Resale,Residential Land / Plot,10 m
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Other,Yes,Water Board,,No,No,,0,Congo,"Thakurpukur, Kolkata",2.00,,Freehold,288000 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,"Club House, Swimming Pool, Gymnasium, Reserved Parking, Security, Water Storage",Yes,Yes,45 X 64,4,3,"Joka, Kolkata",2.00,"Garden/Park, Main Road",Freehold,2880 sqft,6.4 Lac,1,222.00,New Property,Residential Land / Plot,7 m
,,,,,,,,,,,,,,,,Yes,Yes,,0,1,"Hooghly, Kolkata",,,,67680 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,"Club House, Swimming Pool, Gymnasium, Reserved Parking, Security, Water Storage",Yes,Yes,45 X 64,5,3,"Joka, Kolkata",3.00,"Garden/Park, Main Road",Freehold,2880 sqft,8 Lac,1,278.00,New Property,Residential Land / Plot,7 m
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,No,No,,0,20,"Bagnan, Kolkata",4.00,,,2178 sqft,45 Lac,1,2066.00,Resale,Residential Land / Plot,
No,Yes,No,,No,Yes,Yes,Yes,On Highway,Yes,Open,Yes,Sale Deed,No,,,No,No,40 X 55,0,1,"Khalisha Kota, Kolkata",2.00,Main Road,Freehold,2200 sqft,36 Lac,1,1636.00,Resale,Residential Land / Plot,4 m
,,,,,,,,,,,,,,,"Power Back Up, Club House, Swimming Pool, Gymnasium, Security, Visitor Parking",No,No,45 X 24.44,3,,"Joka, Kolkata",1.00,Garden/Park,Freehold,1100 sqft,4 Lac,1,364.00,New Property,Residential Land / Plot,20 m
,,,,,,,,,,,,,,,,Yes,No,,0,5,"Howrah, Kolkata",2.00,,,316800 sqft,,0,,Resale,Residential Land / Plot,9 m
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,On Highway,Yes,Open,Yes,Gift Deed,No,,,Yes,No,,0,,"Bakkhali, Kolkata",3.00,,,17500 sqft,1 Cr,1,571.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,"Power Back Up, Park, Reserved Parking, Security, Water Storage, Waste Disposal",No,No,,1,,"Joka, Kolkata",2.00,,Freehold,720 sqft,3.5 Lac,1,486.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,Yes,,0,5,"Narendrapur Rajpur Sonarpur, Kolkata",3.00,,,10080 sqft,1.60 Cr,1,1587.00,Resale,Residential Land / Plot,15 m
,,,,,,,,,,,,,,,"Power Back Up, Gymnasium, Security, CCTV Camera, Barbeque space, Kids play area",Yes,Yes,45 X 40,4,3,"Joka, Kolkata",2.00,"Garden/Park, Main Road",Freehold,1800 sqft,5.1 Lac,1,283.00,New Property,Residential Land / Plot,7 m
,,,,,,,,,,,,,,,,No,No,,1,,"Thakurpukur, Kolkata",1.00,,,1440 sqft,8 Lac,1,556.00,Resale,Residential Land / Plot,
Yes,Yes,No,,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,No,,,Yes,0,,0,5,"New Town, Kolkata",4.00,,Freehold,2153 sqft,2.70 Cr,1,12542.00,Resale,Residential Land / Plot,20 m
,,,,,,,,,,,,,,,,Yes,Yes,45 X 48,5,3,"Joka, Kolkata",2.00,"Garden/Park, Main Road",Freehold,2160 sqft,5.9 Lac,1,273.00,New Property,Residential Land / Plot,7 m
,,,,,,,,,,,,,,,,Yes,No,,0,3,"Bansdroni, Kolkata",,,,2160 sqft,9 Lac,1,417.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,"Power Back Up, Gymnasium, Security, CCTV Camera, Barbeque space, Kids play area",Yes,Yes,45 X 32,5,3,"Joka, Kolkata",2.00,"Garden/Park, Main Road",Freehold,1440 sqft,7.8 Lac,1,542.00,New Property,Residential Land / Plot,8 m
,,,,,,,,,,,,,,,,No,No,,8,Congo,"Action Area 2, Kolkata",1.00,,Freehold,2160 sqft,,0,,Resale,Residential Land / Plot,12 m
,,,,,,,,,,,,,,,,Yes,Yes,,2,6,Kolkata,2.00,Main Road,,19440 sqft,,0,,Resale,Residential Land / Plot,8 m
Yes,Yes,Yes,Electricity Board,Yes,No,Yes,Yes,Pucca Road,Yes,Open,Yes,Sale Deed,Yes,Water Board,,Yes,Yes,,1,Congo,"Rajarhat, Kolkata",3.00,,Freehold,10500 sqft,1.85 Cr,1,1762.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,"Power Back Up, Rain Water Harvesting, Swimming Pool, Gymnasium, Park, Reserved Parking",No,Yes,,4,,"Joka, Kolkata",1.00,,Freehold,1080 sqft,3 Lac,1,278.00,Resale,Residential Land / Plot,15 m
,,,,,,,,,,,,,,,,No,No,,0,,"Action Area 2, Kolkata",1.00,,Freehold,2153 sqft,,0,,Resale,Residential Land / Plot,14 m
,,,,,,,,,,,,,,,,No,Yes,40 X 36,4,5,"New Town, Kolkata",2.00,"Garden/Park, Main Road",Freehold,1440 sqft,22 Lac,1,1528.00,New Property,Residential Land / Plot,25 m
,,,,,,,,,,,,,,,"Power Back Up, Gymnasium, Security, CCTV Camera, Barbeque space, Kids play area",Yes,Yes,45 X 48,6,3,"Joka, Kolkata",2.00,"Garden/Park, Main Road",Freehold,2160 sqft,11.7 Lac,1,542.00,New Property,Residential Land / Plot,7 m
,,,,,,,,,,,,,,,,No,No,49 X 33.06,7,5,"Action Area 3, Kolkata",1.00,Main Road,Freehold,1620 sqft,95 Lac,1,5864.00,Resale,Residential Land / Plot,13 m
,,,,,,,,,,,,,,,,Yes,Yes,56 X 33.93,0,100,Kolkata,3.00,,Freehold,1900 sqft,20 Lac,1,1053.00,Resale,Residential Land / Plot,6000 m
,,,,,,,,,,,,,,,,No,Yes,,0,4,"New Town, Kolkata",3.00,Garden/Park,Freehold,2340 sqft,1.30 Cr,1,5556.00,Resale,Residential Land / Plot,18 m
