Conversion Certificate,Deed from Previous Owner,Electricity Connection,Electricity Connection_detail,Encumberence Certificate,Is the plot free of any legal issues?,Revenue Document,Road Available,Road Available_detail,Sewage Connection,Sewage Connection_detail,Title Deed,Title Deed_detail,Water Connection,Water Connection_detail,amenities,boundary,construction,dimensions,fig_count,floor,location,open-sides,overlooking,ownership,plot-area,price,price_available,price_per_sqft,transaction,type,width-road-facing
,,,,,,,,,,,,,,,,No,No,,2,Congo,"New Town, Kolkata",3.00,,Freehold,3230 sqft,2.50 Cr,1,7740.00,Resale,Residential Land / Plot,12 m
,,,,,,,,,,,,,,,,No,No,,0,Congo,"New Town, Kolkata",2.00,,,1440 sqft,30 Lac,1,2083.00,New Property,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,,0,2,"New Town, Kolkata",2.00,,Freehold,18 sqft,,0,,New Property,Residential Land / Plot,40 m
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Gift Deed,Yes,Water Board,,No,No,,5,,Kolkata,1.00,,,2890 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,Yes,,0,1,"Rahara, Kolkata",,,,1500 sqft,40 Lac,1,2667.00,Resale,Residential Land / Plot,
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Will Deed,Yes,Water Board,,Yes,Yes,,0,,"Jagtala, Kolkata",2.00,,,8211 sqft,1.08 Cr,1,1315.00,Resale,Residential Land / Plot,8 m
,,,,,,,,,,,,,,,,No,No,,0,3,"Harish Nagar, Kolkata",,,,8956 sqft,43.5 Lac,1,486.00,Resale,Residential Land / Plot,
No,Yes,Yes,,No,Yes,,Yes,Pucca Road,Yes,,Yes,Sale Deed,Yes,Borewell,,No,No,,0,3,"Action Area 3, Kolkata",1.00,,Freehold,57600 sqft,,0,,Resale,Residential Land / Plot,5 m
,,,,,,,,,,,,,,,,No,No,,0,1,"Kanchrapara, Kolkata",,,,94500 sqft,,0,,Resale,Residential Land / Plot,
Yes,Yes,Yes,Electricity Board,Yes,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,,Yes,Water Board,,No,Yes,48 X 30,4,Congo,"Joka, Kolkata",4.00,Main Road,Freehold,1440 sqft,2 Lac,1,139.00,Resale,Residential Land / Plot,10 m
,,,,,,,,,,,,,,,,No,No,49 X 33.06,6,5,"Action Area 3, Kolkata",1.00,Main Road,Freehold,1620 sqft,95 Lac,1,5864.00,Resale,Residential Land / Plot,13 m
,,,,,,,,,,,,,,,,No,No,,0,3,Kolkata,,,,2153 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,,0,3,Kolkata,,,,57600 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,,1,,"Mukundapur, Kolkata",,Main Road,Freehold,1440 sqft,42 Lac,1,2917.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,,0,4,"Nayabad, Kolkata",1.00,,Freehold,2160 sqft,60 Lac,1,2778.00,Resale,Residential Land / Plot,6 m
,,,,,,,,,,,,,,,,No,No,,0,5,"Rajarhat, Kolkata",,,,30240 sqft,,0,,Resale,Residential Land / Plot,
Yes,Yes,Yes,,Yes,Yes,,Yes,,Yes,,No,,Yes,,,Yes,No,,0,,"Subhasgram, Kolkata",,,,1440 sqft,9 Lac,1,625.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,35 X 41.14,24,5,"New Town, Kolkata",2.00,Main Road,Freehold,1440 sqft,16.2 Lac,1,1125.00,New Property,Residential Land / Plot,10 m
,,,,,,,,,,,,,,,,No,Yes,,3,,"Garia Station Road, Kolkata",,,,1440 sqft,,0,,Resale,Residential Land / Plot,
Yes,Yes,No,,Yes,Yes,,Yes,On Highway,No,,Yes,Sale Deed,No,,,No,No,,0,,"Rabindra Nagar Alipore, Kolkata",,,,4320 sqft,1.50 Cr,1,3473.00,Resale,Residential Land / Plot,
