boundary,construction,dimensions,fig_count,floor,location,open_sides,price,price_per_sqft,transaction,type,garden_park,main_road,pool,width_road,area
Yes,No,,0,5,Rajpur Sonarpur,4,180,669,Resale,Residential Land / Plot,0,0,0,9,14400
No,No,,0,1,Joka,,30,1389,Resale,Residential Land / Plot,0,0,0,,2160
No,No,,2,,Madhyamgram,2,450,3472,New Property,Residential Land / Plot,0,0,0,20,12960
No,No,,0,,Salt Lake City,,125,1929,New Property,Residential Land / Plot,0,0,0,,6481
No,No,62 X 38,1,,Shyamnagar,3,18,778,Resale,Residential Land / Plot,0,0,0,18,2313
No,No,24 X 30.21,2,,Joka,2,3.8,524,New Property,Residential Land / Plot,1,1,0,10,725
No,No,48 X 30,0,,Joka,1,2.8,194,Resale,Residential Land / Plot,0,0,0,7,1440
No,No,,0,,"Golf Green, Jadavpur",,960,2083,Resale,Residential Land / Plot,0,0,0,,46080
No,Yes,45 X 32,2,4,Rajarhat,3,14.8,1028,New Property,Residential Land / Plot,1,1,0,10,1440
No,Yes,45 X 32,3,4,Rajarhat,3,14.8,1031,New Property,Residential Land / Plot,1,1,0,10,1440
